city,lat,lng
Stratford,47.4268,-119.2816
Ione,48.7402,-117.4223
Tacoma,47.2431,-122.4531
Barberton,45.7136,-122.6114
Yacolt,45.865,-122.4059
Coulee Dam,47.9688,-118.9761
Almota,46.7029,-117.4694
Skamokawa,46.2704,-123.4571
Woodinville,47.7569,-122.1478
Swinomish Village,48.4082,-122.5113
Methow,48.1289,-120.0056
Bay View,48.487,-122.4628
Newaukum,47.2573,-122.1018
Kalaloch,47.6045,-124.3724
Meadow Glade,45.7524,-122.5614
Disautel,48.345,-119.2299
Copalis Crossing,47.1079,-124.0693
Burley,47.4166,-122.6377
Riverside,48.5047,-119.5102
Ocean Shores,46.9685,-124.1521
Bethel,47.4874,-122.6175
Grisdale,47.357,-123.6124
South Hill,47.1203,-122.2848
Island View,46.2393,-119.2233
Winona,46.9457,-117.8005
Leadpoint,48.9094,-117.5875
Brooklyn,46.7762,-123.5099
Mansfield,47.8119,-119.638
Sequim,48.0747,-123.0944
Esperance,47.7937,-122.3469
Springdale,48.0572,-117.7466
Okanogan,48.3671,-119.5783
Cedar Mountain,47.4482,-122.0732
Moses Lake,47.1285,-119.2741
Littlerock,46.9018,-123.0179
Trentwood,47.6966,-117.2108
Mabton,46.2115,-119.9938
Klickitat,45.818,-121.1626
Puyallup,47.1794,-122.2902
Cinebar,46.6043,-122.5318
San de Fuca,48.2351,-122.7232
Cathlamet,46.2056,-123.3835
Richardson,48.4515,-122.8988
Sumner,47.2189,-122.2338
Davenport,47.6551,-118.1519
Cliffdell,46.9213,-121.042
Fall City,47.5717,-121.9134
Dockton,47.3718,-122.4593
Conway,48.3356,-122.3444
Marshall,47.5649,-117.4994
Walla Walla,46.067,-118.3365
Canterwood,47.3766,-122.6022
Lexington,46.1873,-122.9054
Country Homes,47.7478,-117.4196
Altoona,46.2699,-123.6144
South Cle Elum,47.1862,-120.9525
Waldron,48.6876,-123.0369
Chesaw,48.946,-119.0514
Sunnyslope,47.5045,-122.729
Olympic View,47.694,-122.7404
Hood,45.7248,-121.5581
Elbe,46.7652,-122.1946
Venice,47.667,-122.5799
Cumberland,47.2829,-121.9271
Ostrander,46.1926,-122.8921
Cohassett Beach,46.8655,-124.1053
Deming,48.8381,-122.2313
Sekiu,48.2637,-124.3012
Terrace Heights,46.6024,-120.4482
Nemah,46.512,-123.886
Neilton,47.4031,-123.8782
Grays River,46.3608,-123.589
Ashford,46.7537,-122.0113
Boistfort,46.5351,-123.1337
Shore Acres,47.3104,-122.5715
Bothell,47.7736,-122.2044
South Broadway,46.5662,-120.5167
Edwall,47.5046,-117.9511
Georgetown,47.3576,-121.9737
Maryhill,45.6928,-120.807
Huntsville,46.2871,-118.1072
Greenbank,48.0982,-122.5729
Murphys Corner,47.8782,-122.2068
Tokeland,46.709,-123.984
Felida,45.7138,-122.7103
Fairview,47.6215,-122.6685
Tumwater,46.989,-122.9172
Uniontown,46.5391,-117.0861
Coupeville,48.2172,-122.6775
River Road,48.0677,-123.1276
Duvall,47.7354,-121.9725
Marcus,48.6642,-118.0601
Seattle Heights,47.8104,-122.324
Strandell,48.9121,-122.3582
Key Center,47.3376,-122.7506
Hanford,46.5837,-119.3878
Grand Mound,46.8053,-123.0119
Taholah,47.3283,-124.2728
Port Blakely,47.5973,-122.5101
Malone,46.9779,-123.3035
Boston Harbor,47.1384,-122.901
Rainier,46.8917,-122.6867
Menlo,46.6215,-123.6471
Azwell,47.9371,-119.8765
Glendale,47.9395,-122.3585
Monroe,47.8596,-121.9853
Sawyer,46.4565,-120.3614
Clarkston,46.4152,-117.0502
Spanaway,47.0979,-122.4233
Gig Harbor,47.3353,-122.5968
Big Lake,48.3933,-122.2422
Smyrna,46.8393,-119.6623
Carlton,48.2482,-120.1162
Monitor,47.4868,-120.4181
Des Moines,47.3914,-122.3154
Lucerne,48.2024,-120.5912
Carlisle,47.1548,-124.0985
Metaline Falls,48.8616,-117.3705
Breidablick,47.802,-122.6493
Snohomish,47.9277,-122.097
Richland,46.2826,-119.2938
Parkland,47.1417,-122.4376
Veradale,47.6568,-117.1963
Kummer,47.2868,-122.0212
Woodland,45.9149,-122.7504
Washougal,45.5812,-122.3433
Boyds,48.7244,-118.1322
Bonney Lake,47.1788,-122.1699
South Prairie,47.1373,-122.094
Larimers Corner,47.8918,-122.1446
Porter,46.9489,-123.2736
Lisabeula,47.4073,-122.5176
Saint John,47.0915,-117.5887
Spokane Valley,47.6625,-117.2346
Lake Cavanaugh,48.3225,-122.0121
Bellevue,47.5953,-122.1551
Custer,48.9143,-122.6397
Orcas,48.5979,-122.9446
Diablo,48.7135,-121.1412
Christopher,47.334,-122.2321
Midvale Corner,47.9926,-122.4176
Marysville,48.0809,-122.1558
Newcastle,47.5303,-122.1633
North Bend,47.4898,-121.7738
Snoqualmie,47.5293,-121.8412
Three Lakes,47.942,-121.9924
Kendall,48.9167,-122.1382
Kanaskat,47.3204,-121.8937
Schrag,47.0732,-118.8542
Wilbur,47.7582,-118.7115
Enumclaw,47.2017,-121.9897
Nile,46.8368,-120.9455
Alderwood Manor,47.8146,-122.2677
Clarkston Heights,46.3963,-117.0824
Pacific Beach,47.215,-124.1967
Napavine,46.5844,-122.9007
Hatton,46.7735,-118.8277
Shelton,47.2188,-123.1127
